,date,time,round,day,home_team,away_team,goals_home,goals_away,xg_home,xg_away,poss_home,formation_home,referee,sh_home,sot_home,dist_home,fk_home,pk_home,pkatt_home,season,target,poss_away,formation_away,sh_away,sot_away,dist_away,fk_away,pk_away,pkatt_away,time_group,xg_home_rolling,xg_away_rolling,poss_home_rolling,sh_home_rolling,sot_home_rolling,dist_home_rolling,fk_home_rolling,pk_home_rolling,goals_home_rolling,goals_away_rolling,pkatt_home_rolling,poss_away_rolling,sh_away_rolling,sot_away_rolling,dist_away_rolling,fk_away_rolling,pk_away_rolling,pkatt_away_rolling
10,2024-02-04,21,23,6,19,5,1.0,1.0,1.9,1.1,54.0,4-3-1-2,José Sánchez,17.0,4.0,16.0,0.0,0,0,2024,2,46.0,3-5-2,10.0,5.0,11.7,0.0,0,0,2,2.1666666666666665,1.5333333333333332,59.333333333333336,15.333333333333334,6.333333333333333,15.300000000000002,0.3333333333333333,0.3333333333333333,2.3333333333333335,1.6666666666666667,0.3333333333333333,51.666666666666664,10.0,5.333333333333333,14.133333333333335,0.3333333333333333,0.0,0.0
11,2024-02-10,18,24,5,19,7,4.0,0.0,3.2,0.3,53.0,4-3-1-2,Juan Martínez,15.0,6.0,15.7,0.0,0,1,2024,0,47.0,4-2-3-1,5.0,0.0,25.4,0.0,0,0,1,2.1333333333333333,1.2999999999999998,58.0,15.666666666666666,4.666666666666667,15.066666666666668,0.3333333333333333,0.3333333333333333,2.0,2.0,0.3333333333333333,54.666666666666664,12.666666666666666,5.666666666666667,16.7,1.3333333333333333,0.0,0.0
12,2024-02-25,21,26,6,19,9,1.0,0.0,1.0,0.8,65.0,4-3-3,Isidro Díaz de Mera,16.0,6.0,20.0,1.0,0,0,2024,0,35.0,5-3-2,4.0,1.0,8.1,0.0,0,0,2,2.0666666666666664,0.7666666666666666,55.333333333333336,14.333333333333334,4.666666666666667,16.53333333333333,0.3333333333333333,0.0,2.0,1.0,0.3333333333333333,38.333333333333336,7.0,4.333333333333333,15.766666666666666,0.0,0.0,0.0
13,2024-03-10,18,28,6,19,2,4.0,0.0,3.4,0.8,62.0,4-3-1-2,Mario Melero,25.0,13.0,13.8,0.0,0,0,2024,0,38.0,5-3-2,11.0,1.0,17.1,0.0,0,0,1,1.4333333333333336,1.0,64.66666666666667,12.333333333333334,5.0,17.833333333333332,1.0,0.0,1.3333333333333333,1.3333333333333333,0.0,45.0,11.666666666666666,4.333333333333333,16.533333333333335,0.0,0.0,0.0
14,2024-03-31,21,30,6,19,0,2.0,0.0,1.1,0.3,58.0,4-2-2-2,Alberola Rojas,9.0,4.0,18.8,0.0,0,0,2024,0,42.0,4-2-3-1,7.0,3.0,16.8,0.0,0,0,2,2.8333333333333335,1.0666666666666667,65.33333333333333,17.333333333333332,9.0,16.0,0.3333333333333333,0.0,3.3333333333333335,1.3333333333333333,0.0,43.0,10.333333333333334,2.6666666666666665,16.73333333333333,0.0,0.0,0.0
15,2023-08-20,19,2,6,10,13,2.0,0.0,3.4,1.1,74.0,3-4-3,Alejandro Muñíz,24.0,10.0,15.5,2.0,0,0,2024,0,26.0,4-4-2,10.0,1.0,12.0,0.0,0,0,1,1.4,0.7,74.0,14.0,3.0,19.9,1.0,0.0,0.0,1.0,0.0,45.0,12.0,3.0,17.6,1.0,0.0,0.0
16,2023-09-16,21,5,5,10,15,5.0,0.0,2.4,0.8,65.0,4-3-3,José Sánchez,17.0,9.0,18.7,2.0,0,0,2024,0,35.0,4-2-3-1,11.0,2.0,18.9,0.0,0,0,2,2.8333333333333335,0.7000000000000001,67.66666666666667,17.666666666666668,8.0,15.966666666666667,0.6666666666666666,0.3333333333333333,2.6666666666666665,1.0,0.3333333333333333,53.333333333333336,12.333333333333334,3.0,16.96666666666667,0.6666666666666666,0.0,0.0
17,2023-09-23,18,6,5,10,2,3.0,2.0,1.6,1.5,74.0,4-3-3,Mario Melero,15.0,6.0,20.8,0.0,0,0,2024,0,26.0,5-3-2,13.0,7.0,15.2,0.0,0,0,1,2.5,1.3333333333333333,64.66666666666667,15.333333333333334,7.666666666666667,17.03333333333333,0.6666666666666666,0.3333333333333333,3.6666666666666665,1.0,0.3333333333333333,44.666666666666664,14.333333333333334,5.0,15.133333333333333,0.0,0.0,0.0
18,2023-09-29,21,8,4,10,9,1.0,0.0,2.4,1.1,58.0,4-3-3,Miguel Ángel Ortiz Arias,18.0,4.0,13.5,0.0,0,0,2024,0,42.0,4-2-3-1,12.0,3.0,13.2,0.0,0,0,2,1.9666666666666668,1.5666666666666667,69.33333333333333,14.0,6.333333333333333,18.333333333333332,0.6666666666666666,0.0,3.3333333333333335,2.0,0.0,48.333333333333336,19.666666666666668,7.0,17.53333333333333,1.0,0.0,0.0
19,2023-10-22,21,10,6,10,0,1.0,0.0,1.3,0.4,62.0,4-3-3,Juan Martínez,12.0,7.0,15.4,0.0,0,0,2024,0,38.0,4-2-3-1,10.0,3.0,17.1,0.0,0,0,2,2.433333333333333,1.4666666666666668,69.0,16.666666666666668,6.0,15.299999999999999,0.3333333333333333,0.0,1.6666666666666667,1.6666666666666667,0.0,52.333333333333336,16.333333333333332,5.333333333333333,15.5,0.0,0.0,0.0
