,date,time,round,day,home_team,away_team,goals_home,goals_away,xg_home,xg_away,poss_home,formation_home,referee,sh_home,sot_home,dist_home,fk_home,pk_home,pkatt_home,season,target,poss_away,formation_away,sh_away,sot_away,dist_away,fk_away,pk_away,pkatt_away
27,2024-02-11,21:00,24,6,10,14,3.0,3.0,2.3,1.4,65.0,4-3-3,Miguel Ángel Ortiz Arias,11.0,5.0,12.2,0.0,0,0,2024,2,35.0,4-1-4-1,11.0,5.0,14.6,0.0,0,0
28,2024-02-24,16:15,26,5,10,3,4.0,0.0,3.1,0.5,67.0,4-3-3,Alejandro Muñíz,17.0,9.0,13.6,0.0,0,0,2024,0,33.0,4-5-1,10.0,4.0,23.3,0.0,0,0
29,2024-03-08,21:00,28,4,10,18,1.0,0.0,2.0,0.6,63.0,4-3-3,Javier Villanueva,19.0,5.0,21.4,0.0,0,1,2024,0,37.0,5-3-2,9.0,3.0,14.2,0.0,0,0
30,2024-03-30,21:00,30,5,10,6,1.0,0.0,1.7,0.3,69.0,4-3-3,Mateo Busquets,14.0,2.0,19.8,1.0,0,0,2024,0,31.0,4-5-1,8.0,0.0,20.4,1.0,0,0
31,2023-08-20,19:00,2,6,7,3,3.0,0.0,1.4,0.7,63.0,4-1-4-1,Jorge Figueroa,7.0,6.0,16.1,1.0,0,0,2024,0,37.0,4-2-3-1,9.0,2.0,17.9,1.0,0,0
32,2023-09-03,14:00,4,6,7,6,1.0,0.0,1.0,1.1,46.0,4-1-4-1,Mateo Busquets,11.0,6.0,16.2,0.0,0,0,2024,0,54.0,4-2-3-1,10.0,5.0,20.6,1.0,0,0
33,2023-09-23,14:00,6,5,7,18,5.0,3.0,3.2,1.8,56.0,4-1-4-1,Pablo González,22.0,8.0,16.6,0.0,1,1,2024,0,44.0,5-4-1,14.0,4.0,17.8,0.0,1,1
34,2023-09-30,18:30,8,5,7,19,0.0,3.0,1.6,2.3,52.0,4-1-4-1,Juan Pulido,13.0,3.0,19.7,0.0,0,0,2024,1,48.0,4-3-1-2,14.0,7.0,16.2,0.0,0,0
35,2023-10-22,16:15,10,6,7,1,5.0,2.0,1.9,1.0,66.0,3-4-3,Miguel Ángel Ortiz Arias,19.0,8.0,18.1,1.0,0,0,2024,0,34.0,4-2-3-1,9.0,5.0,22.4,1.0,0,0
36,2023-10-27,21:00,11,4,7,2,1.0,0.0,0.6,0.2,65.0,3-4-3,Isidro Díaz de Mera,12.0,2.0,17.1,0.0,0,0,2024,0,35.0,4-4-2,4.0,2.0,18.9,0.0,0,0
37,2023-11-27,21:00,14,0,7,0,1.0,1.0,1.3,1.5,60.0,4-4-1-1,Mario Melero,13.0,2.0,15.6,0.0,0,0,2024,2,40.0,4-2-3-1,13.0,6.0,15.8,0.0,0,0
38,2023-12-02,14:00,15,5,7,12,2.0,1.0,1.6,1.0,77.0,3-4-3,Javier Villanueva,9.0,5.0,13.5,0.0,0,0,2024,0,23.0,4-4-2,9.0,3.0,16.7,0.0,0,0
39,2023-12-18,21:00,17,0,7,17,3.0,0.0,1.7,0.7,66.0,3-4-3,Francisco Hernández,8.0,3.0,16.2,0.0,1,1,2024,0,34.0,3-4-3,12.0,2.0,21.5,0.0,0,0
40,2024-01-03,21:30,19,2,7,5,4.0,3.0,2.3,2.3,52.0,4-4-1-1,Alejandro Hernández,17.0,9.0,15.8,0.0,0,0,2024,0,48.0,3-1-4-2,18.0,12.0,12.0,0.0,0,0
41,2024-01-21,21:00,21,6,7,9,5.0,1.0,2.3,0.7,55.0,4-4-2,Pablo González,12.0,8.0,12.7,0.0,0,0,2024,0,45.0,5-3-2,9.0,3.0,19.8,0.0,0,0
42,2024-02-03,21:00,23,5,7,4,0.0,0.0,0.7,0.6,49.0,4-2-3-1,Jesús Gil,11.0,3.0,18.2,3.0,0,0,2024,2,51.0,4-4-1-1,11.0,2.0,20.7,0.0,0,0
43,2024-02-26,21:00,26,0,7,11,3.0,0.0,2.2,0.5,54.0,4-2-3-1,Ricardo de Burgos,14.0,8.0,12.2,1.0,0,0,2024,0,46.0,4-2-3-1,7.0,1.0,25.6,0.0,0,0
44,2024-03-09,21:00,28,5,7,8,2.0,0.0,1.9,0.2,60.0,3-4-3,Mateo Busquets,11.0,6.0,14.1,0.0,0,0,2024,0,40.0,3-5-1-1,7.0,1.0,20.1,0.0,0,0
45,2024-03-31,16:15,30,6,7,15,3.0,2.0,2.6,0.5,57.0,3-4-3,Jesús Gil,8.0,4.0,14.6,0.0,1,1,2024,0,43.0,4-1-4-1,7.0,4.0,20.5,0.0,0,0
46,2023-08-14,21:30,1,0,5,14,3.0,1.0,2.4,0.9,46.0,3-5-2,Juan Pulido,14.0,6.0,14.4,0.0,0,0,2024,0,54.0,5-3-2,7.0,4.0,14.1,0.0,0,0
47,2023-09-24,21:00,6,6,5,19,3.0,1.0,1.4,1.0,37.0,5-3-2,Alberola Rojas,10.0,4.0,14.6,0.0,0,0,2024,0,63.0,4-1-2-1-2◆,20.0,5.0,21.5,1.0,0,0
48,2023-10-01,21:00,8,6,5,13,3.0,2.0,2.7,0.8,69.0,3-5-2,Javier Villanueva,18.0,9.0,15.5,1.0,0,0,2024,0,31.0,5-3-2,8.0,4.0,21.8,0.0,0,0
49,2023-10-08,16:15,9,6,5,4,2.0,1.0,2.2,1.2,38.0,3-5-2,José Luis Munuera,13.0,4.0,15.0,0.0,1,1,2024,0,62.0,4-3-3,13.0,4.0,23.1,1.0,0,0
50,2023-10-29,21:00,11,6,5,17,2.0,1.0,1.3,0.5,63.0,3-5-2,Alejandro Muñíz,11.0,7.0,11.8,0.0,0,0,2024,0,37.0,4-2-3-1,8.0,1.0,17.4,0.0,0,0
51,2023-11-12,21:00,13,6,5,16,3.0,1.0,3.9,0.8,50.0,3-5-2,Francisco Hernández,25.0,10.0,14.6,0.0,0,0,2024,0,50.0,4-4-2,11.0,7.0,15.8,0.0,0,0
52,2023-11-25,21:00,14,5,5,18,1.0,0.0,1.7,1.1,68.0,3-4-3,Juan Martínez,20.0,3.0,17.6,0.0,0,0,2024,0,32.0,5-4-1,8.0,1.0,16.0,0.0,0,0
53,2023-12-10,14:00,16,6,5,1,2.0,1.0,2.2,1.3,57.0,3-4-3,Ricardo de Burgos,13.0,4.0,17.5,1.0,0,0,2024,0,43.0,3-4-1-2,19.0,6.0,17.3,0.0,0,0
54,2023-12-19,21:30,18,1,5,3,3.0,3.0,2.0,2.0,42.0,3-5-2,José Luis Munuera,7.0,3.0,15.5,0.0,1,1,2024,2,58.0,4-4-2,28.0,8.0,18.4,0.0,1,1
55,2023-12-23,16:15,4,5,5,9,1.0,0.0,0.9,0.3,50.0,5-4-1,César Soto,12.0,4.0,16.9,0.0,0,0,2024,0,50.0,3-5-2,8.0,2.0,22.8,1.0,0,0
56,2024-01-28,21:00,22,6,5,12,2.0,0.0,2.4,0.5,54.0,3-5-2,Ricardo de Burgos,12.0,8.0,13.7,1.0,0,0,2024,0,46.0,4-2-3-1,10.0,3.0,18.7,1.0,0,0
57,2024-01-31,21:00,20,2,5,11,2.0,1.0,1.0,0.4,54.0,3-5-2,César Soto,8.0,3.0,13.4,0.0,0,0,2024,0,46.0,3-4-3,10.0,2.0,19.2,0.0,0,0
58,2024-02-17,14:00,25,5,5,6,5.0,0.0,3.5,0.7,36.0,5-3-2,Jorge Figueroa,12.0,6.0,18.8,1.0,1,1,2024,0,64.0,4-5-1,11.0,2.0,22.5,0.0,0,0
59,2024-03-03,16:15,27,6,5,15,2.0,1.0,3.0,0.6,42.0,3-5-2,César Soto,16.0,11.0,16.3,0.0,0,1,2024,0,58.0,4-2-3-1,12.0,6.0,17.9,0.0,0,0
60,2024-03-17,21:00,29,6,5,10,0.0,3.0,0.8,1.5,41.0,3-4-3,José Sánchez,13.0,3.0,19.6,0.0,0,0,2024,1,59.0,4-3-3,9.0,5.0,13.5,1.0,0,0
61,2023-08-12,21:30,1,5,0,19,0.0,2.0,0.4,0.9,46.0,4-2-3-1,Jesús Gil,7.0,1.0,15.3,0.0,0,0,2024,1,54.0,4-1-2-1-2◆,14.0,8.0,16.0,2.0,0,0
62,2023-08-27,21:30,3,6,0,15,4.0,2.0,2.9,0.4,48.0,4-2-3-1,César Soto,12.0,4.0,19.7,0.0,2,2,2024,0,52.0,4-2-3-1,9.0,4.0,17.5,1.0,0,0
63,2023-09-16,14:00,5,5,0,13,3.0,0.0,2.9,0.3,65.0,4-2-3-1,Guillermo Cuadra,20.0,8.0,13.4,0.0,0,0,2024,0,35.0,4-4-2,5.0,4.0,21.8,1.0,0,0
64,2023-09-27,19:00,7,2,0,3,2.0,2.0,0.7,1.4,49.0,4-2-3-1,Isidro Díaz de Mera,8.0,4.0,18.2,0.0,0,0,2024,2,51.0,5-4-1,13.0,5.0,16.9,0.0,0,0
